Doctor Name,City,Specialization,Doctor Qualification,Experience(Years),Total_Reviews,Patient Satisfaction Rate(%age),Avg Time to Patients(mins),Wait Time(mins),Hospital Address,Doctors Link,Fee(PKR)
Prof. Dr. Syed Shamsuddin,QUETTA,Dermatologist,"MBBS, MCPS, FCPS",30.0,827.0,98.0,14.0,13.0,"National Hospital, Near Quetta Laboratory Prince Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/prof-dr-syed-shamsuddin#reviews-scroll,5000.0
Dr. Jaffar Ali,QUETTA,Dermatologist,"MBBS, MCPS (Dermatology), FDV (Austria)",32.0,1250.0,97.0,16.0,13.0,"Quetta Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-jaffar-ali#reviews-scroll,3000.0
Asst. Prof. Dr. Syed Bilal Shams,QUETTA,"Dermatologist, Cosmetic Surgeon","MBBS, FCPS (Dermatology), Fellowship In Dermatology (USA)",15.0,1294.0,99.0,15.0,15.0,"Skin Center Dermatologist Dr. Syed Bilal Ahmed Shams Clinic, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/asst-prof-dr-syed-bilal-shams#reviews-scroll,5000.0
Asst. Prof. Dr. Surjeet Kumar,QUETTA,Dermatologist,"MBBS, FCPS(Dermatology)",12.0,114.0,99.0,14.0,7.0,"Doctors Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/asst-prof-dr-surjeet-kumar#reviews-scroll,2000.0
Dr. Palwasha Jalil,QUETTA,Dermatologist,"MBBS, FCPS (Dermatology) Agha Khan University",8.0,24.0,100.0,19.0,16.0,"Aria Institute Of Medical And Health Sciences, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-palwasha-jalil#reviews-scroll,1500.0
Dr. Faiza Gul,QUETTA,Dermatologist,"MBBS, FCPS(Dermatology), SCE (UK)",5.0,46.0,98.0,10.0,11.0,"Heart And General Hospital, Model Town, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-faiza-gul#reviews-scroll,1000.0
Dr. Obed Ullah,QUETTA,Dermatologist,"MBBS , FCPS (Dermatology)",15.0,57.0,100.0,14.0,8.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-obed-ullah#reviews-scroll,1000.0
Dr. Saifullah Kakar,QUETTA,Dermatologist,"MBBS, FCPS (Dermatology)",5.0,1.0,100.0,10.0,10.0,"City International Hospital, Zarghon Road, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-saifullah-kakar#reviews-scroll,1000.0
Dr. Mushtaq Ahmed,QUETTA,"Dermatologist, Dermatologist, Allergy Specialist","MBBS, Dip In Dermatology",9.0,113.0,93.0,15.0,13.0,"Saleem Medical Complex Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-mushtaq-ahmed#reviews-scroll,1000.0
Dr. Shakil Ashraf,QUETTA,Dermatologist,"MBBS, FCPS ( Dermatology )",13.0,86.0,100.0,15.0,11.0,"Hammad Skin Laser and Hair transplant Clinic, Quetta, Quetta",https://www.marham.pk/doctors/quetta/dermatologist/dr-shakil-ashraf#reviews-scroll,1500.0
Dr. Faisal Baloch,QUETTA,"General Physician, Dermatologist, Aesthetic Physician","MD-Europe, MRCGP-UK, DPD-UK, DIPL-ASTH-UK",10.0,0.0,94.0,14.0,11.0,"International Medical Center, Quetta City, Quetta",No Link Available,1500.0
Asst. Prof. Dr. Seemab Khan,QUETTA,Dermatologist,"MBBS, FCPS",16.0,0.0,94.0,14.0,11.0,"Fc Hospital, Cantt, Quetta",No Link Available,700.0
Prof. Dr. Muhammad Saleem Barech,QUETTA,Neurologist,"MBBS, FCPS, DCN",27.0,1955.0,98.0,14.0,25.0,"Akram Hospital, Quetta City, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/prof-dr-muhammad-saleem-barech#reviews-scroll,5000.0
Dr. Anjum Farooq,QUETTA,Neurologist,"MBBS, FCPS,(Neurology) Fellowship In Stroke,(Akuh)",10.0,290.0,100.0,15.0,11.0,"Mid Town Hospital, purana pashin adda, Quetta",https://www.marham.pk/doctors/quetta/neuro-physician/dr-anjum-farooq#reviews-scroll,2000.0
